gender,age_group,run,patients,patients_with_ddi
Female,25-29,70,450100,10861
Female,25-29,71,450100,10402
Female,25-29,72,450100,10130
Female,25-29,73,450100,31037
Female,25-29,74,450100,13957
Female,25-29,75,450100,24412
Female,25-29,76,450100,13830
Female,25-29,77,450100,12262
Female,25-29,78,450100,4757
Female,25-29,79,450100,3789
Female,25-29,80,450100,9325
Female,25-29,81,450100,17156
Female,25-29,82,450100,14501
Female,25-29,83,450100,15602
Female,25-29,84,450100,6929
Female,25-29,85,450100,63727
Female,25-29,86,450100,12646
Female,25-29,87,450100,7805
Female,25-29,88,450100,9488
Female,25-29,89,450100,4100
Female,25-29,90,450100,2337
Female,25-29,91,450100,9813
Female,25-29,92,450100,41042
Female,25-29,93,450100,4015
Female,25-29,94,450100,7010
Female,25-29,95,450100,16689
Female,25-29,96,450100,6535
Female,25-29,97,450100,3363
Female,25-29,98,450100,10200
Female,25-29,99,450100,2801
Female,25-29,100,450100,5165
Female,30-34,1,544167,15172
Female,30-34,2,544167,104612
Female,30-34,3,544167,17339
Female,30-34,4,544167,36051
Female,30-34,5,544167,5709
Female,30-34,6,544167,16036
Female,30-34,7,544167,30892
Female,30-34,8,544167,9294
Female,30-34,9,544167,13663
Female,30-34,10,544167,10728
Female,30-34,11,544167,13182
Female,30-34,12,544167,12544
Female,30-34,13,544167,9158
Female,30-34,14,544167,15646
Female,30-34,15,544167,21756
Female,30-34,16,544167,12217
Female,30-34,17,544167,5929
Female,30-34,18,544167,6975
Female,30-34,19,544167,19416
Female,30-34,20,544167,6145
Female,30-34,21,544167,19831
Female,30-34,22,544167,9629
Female,30-34,23,544167,29076
Female,30-34,24,544167,10393
Female,30-34,25,544167,20925
Female,30-34,26,544167,17153
Female,30-34,27,544167,18941
Female,30-34,28,544167,8153
Female,30-34,29,544167,64076
Female,30-34,30,544167,9017
Female,30-34,31,544167,16583
Female,30-34,32,544167,6144
Female,30-34,33,544167,40584
Female,30-34,34,544167,5717
Female,30-34,35,544167,9223
Female,30-34,36,544167,6788
Female,30-34,37,544167,12737
Female,30-34,38,544167,4272
Female,30-34,39,544167,8406
Female,30-34,40,544167,18692
Female,30-34,41,544167,23315
Female,30-34,42,544167,9515
Female,30-34,43,544167,25174
Female,30-34,44,544167,14890
Female,30-34,45,544167,5038
Female,30-34,46,544167,15847
Female,30-34,47,544167,20210
Female,30-34,48,544167,10877
Female,30-34,49,544167,21189
Female,30-34,50,544167,8352
Female,30-34,51,544167,15260
Female,30-34,52,544167,6016
Female,30-34,53,544167,6230
Female,30-34,54,544167,8538
Female,30-34,55,544167,8267
Female,30-34,56,544167,6399
Female,30-34,57,544167,10154
Female,30-34,58,544167,20564
Female,30-34,59,544167,5415
Female,30-34,60,544167,27349
Female,30-34,61,544167,24356
Female,30-34,62,544167,14237
Female,30-34,63,544167,13895
Female,30-34,64,544167,33217
Female,30-34,65,544167,10639
Female,30-34,66,544167,2942
Female,30-34,67,544167,22496
Female,30-34,68,544167,55845
Female,30-34,69,544167,23826
Female,30-34,70,544167,15997
Female,30-34,71,544167,14021
Female,30-34,72,544167,13194
Female,30-34,73,544167,39900
Female,30-34,74,544167,20092
Female,30-34,75,544167,29315
Female,30-34,76,544167,20010
Female,30-34,77,544167,17552
Female,30-34,78,544167,7035
Female,30-34,79,544167,6230
Female,30-34,80,544167,12438
Female,30-34,81,544167,21560
Female,30-34,82,544167,19960
Female,30-34,83,544167,20983
Female,30-34,84,544167,9686
Female,30-34,85,544167,82408
Female,30-34,86,544167,20016
Female,30-34,87,544167,10021
Female,30-34,88,544167,14374
Female,30-34,89,544167,5843
Female,30-34,90,544167,4153
Female,30-34,91,544167,13550
Female,30-34,92,544167,50602
Female,30-34,93,544167,7075
Female,30-34,94,544167,9917
Female,30-34,95,544167,22201
Female,30-34,96,544167,9934
Female,30-34,97,544167,5244
Female,30-34,98,544167,14417
Female,30-34,99,544167,4294
Female,30-34,100,544167,7910
Female,35-39,1,588178,19288
Female,35-39,2,588178,116358
Female,35-39,3,588178,16275
Female,35-39,4,588178,42153
Female,35-39,5,588178,7117
Female,35-39,6,588178,18834
Female,35-39,7,588178,38099
Female,35-39,8,588178,13274
Female,35-39,9,588178,18370
Female,35-39,10,588178,15638
Female,35-39,11,588178,18230
Female,35-39,12,588178,16635
Female,35-39,13,588178,12647
Female,35-39,14,588178,20563
Female,35-39,15,588178,25985
Female,35-39,16,588178,17709
Female,35-39,17,588178,8114
Female,35-39,18,588178,10375
Female,35-39,19,588178,23782
